Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,PEK,ADD,Ethiopian Airlines (ET),Ethiopian Airlines,5172,10:50,,,,,77L,,,Direct,3364,1107,2220
- -,PEK,AKL,Air China (CA),Air China,6474,13:26,,,,,772,,,Codeshare,3364,2006,751
- -,PEK,AKL,Air New Zealand (NZ),Air New Zealand,6474,13:26,,,,,772,,,Direct,3364,2006,345
- -,PEK,ALA,Hainan Airlines (HU),Hainan Airlines,2031,04:33,,,,,738,,,Direct,3364,2908,2660
- -,PEK,ALA,Air Astana (KC),Air Astana,2031,04:33,,,,,752 767,,,Direct,3364,2908,1006
- -,PEK,ALG,Air Algerie (AH),Air Algerie,5653,11:48,,,,,330,,,Direct,3364,210,794
- -,PEK,AMS,China Southern Airlines (CZ),China Southern Airlines,4860,10:13,,,,,332,,,Direct,3364,580,1767
- -,PEK,AMS,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,4860,10:13,,,,,74M,,,Direct,3364,580,3090
- -,PEK,AQG,Air Foyle (GS),Air Foyle,656,01:48,,,,,E90,,,Direct,3364,6427,690
- -,PEK,ARN,Air China (CA),Air China,4155,08:48,,,,,777,,,Direct,3364,737,751
- -,PEK,ARN,Scandinavian Airlines System (SK),Scandinavian Airlines System,4155,08:48,,,,,777,,,Codeshare,3364,737,4319
- -,PEK,AUH,Etihad Airways (EY),Etihad Airways,3698,07:53,,,,,332,,,Direct,3364,2179,2222
- -,PEK,AUH,All Nippon Airways (NH),All Nippon Airways,3698,07:53,,,,,332,,,Codeshare,3364,2179,324
- -,PEK,BAV,Air China (CA),Air China,348,01:11,,,,,738 733 737,,,Direct,3364,6346,751
- -,PEK,BAV,Hainan Airlines (HU),Hainan Airlines,348,01:11,,,,,738,,,Direct,3364,6346,2660
- -,PEK,BAV,Japan Air System (JD),Japan Air System,348,01:11,,,,,320 319,,,Direct,3364,6346,6557
- -,PEK,BAV,Shenzhen Airlines (ZH),Shenzhen Airlines,348,01:11,,,,,737,,,Codeshare,3364,6346,4611
- -,PEK,BHY,Air China (CA),Air China,1350,03:12,,,,,738,,,Direct,3364,6351,751
- -,PEK,BHY,Shenzhen Airlines (ZH),Shenzhen Airlines,1350,03:12,,,,,737,,,Codeshare,3364,6351,4611
- -,PEK,BKK,Air China (CA),Air China,2059,04:37,,,,,738 772,,,Direct,3364,3885,751
- -,PEK,BKK,Bangkok Airways (PG),Bangkok Airways,2059,04:37,,,,,747,,,Codeshare,3364,3885,1422
- -,PEK,BKK,Thai Airways International (TG),Thai Airways International,2059,04:37,,,,,333 747 744,,,Direct,3364,3885,4940
- -,PEK,BKK,SriLankan Airlines (UL),SriLankan Airlines,2059,04:37,,,,,343,,,Direct,3364,3885,4349
- -,PEK,BRU,Hainan Airlines (HU),Hainan Airlines,4933,10:21,,,,,330,,,Direct,3364,302,2660
- -,PEK,BRU,Brussels Airlines (SN),Brussels Airlines,4933,10:21,,,,,330,,,Codeshare,3364,302,1531
- -,PEK,BUD,Hainan Airlines (HU),Hainan Airlines,4551,09:36,,,,,330,,,Direct,3364,1489,2660
- -,PEK,BUD,Malév (MA),Malév,4551,09:36,,,,,330,,,Codeshare,3364,1489,3389
- -,PEK,CAI,Air China (CA),Air China,4678,09:51,,,,,330,,,Codeshare,3364,1128,751
- -,PEK,CAI,Egyptair (MS),Egyptair,4678,09:51,,,,,330,,,Direct,3364,1128,2143
- -,PEK,CAN,Air China (CA),Air China,1168,02:50,,,,,738 777 747 772 773 333 321 744 330,,,Direct,3364,3370,751
- -,PEK,CAN,China Southern Airlines (CZ),China Southern Airlines,1168,02:50,,,,,321 380 333 777 332 772 320 738 330,,,Direct,3364,3370,1767
- -,PEK,CAN,Hainan Airlines (HU),Hainan Airlines,1168,02:50,,,,,738 340 330,,,Direct,3364,3370,2660
- -,PEK,CAN,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,1168,02:50,,,,,330,,,Codeshare,3364,3370,3090
- -,PEK,CAN,China Eastern Airlines (MU),China Eastern Airlines,1168,02:50,,,,,321 333 777 772 320 738 330,,,Codeshare,3364,3370,1758
- -,PEK,CAN,Scandinavian Airlines System (SK),Scandinavian Airlines System,1168,02:50,,,,,777 321 738,,,Codeshare,3364,3370,4319
- -,PEK,CAN,Shenzhen Airlines (ZH),Shenzhen Airlines,1168,02:50,,,,,737 777 747 330 320,,,Codeshare,3364,3370,4611
- -,PEK,CDG,Air France (AF),Air France,5085,10:40,,,,,77W,,,Direct,3364,1382,137
- -,PEK,CDG,Air China (CA),Air China,5085,10:40,,,,,340 330,,,Direct,3364,1382,751
- -,PEK,CDG,China Eastern Airlines (MU),China Eastern Airlines,5085,10:40,,,,,77W,,,Codeshare,3364,1382,1758
- -,PEK,CGD,China Southern Airlines (CZ),China Southern Airlines,820,02:08,,,,,321,,,Direct,3364,6352,1767
- -,PEK,CGK,Garuda Indonesia (GA),Garuda Indonesia,3252,07:00,,,,,332,,,Direct,3364,3275,2520
- -,PEK,CGO,Air China (CA),Air China,412,01:19,,,,,738 737,,,Direct,3364,3375,751
- -,PEK,CGO,China Southern Airlines (CZ),China Southern Airlines,412,01:19,,,,,738,,,Direct,3364,3375,1767
- -,PEK,CGO,China Eastern Airlines (MU),China Eastern Airlines,412,01:19,,,,,738,,,Codeshare,3364,3375,1758
- -,PEK,CGO,Shenzhen Airlines (ZH),Shenzhen Airlines,412,01:19,,,,,737,,,Codeshare,3364,3375,4611
- -,PEK,CGQ,Air China (CA),Air China,499,01:29,,,,,738 321 757 733 737,,,Direct,3364,4380,751
- -,PEK,CGQ,China Southern Airlines (CZ),China Southern Airlines,499,01:29,,,,,319 320 321,,,Direct,3364,4380,1767
- -,PEK,CGQ,Hainan Airlines (HU),Hainan Airlines,499,01:29,,,,,738,,,Direct,3364,4380,2660
- -,PEK,CGQ,Hankook Air (HX),Hankook Air,499,01:29,,,,,738,,,Codeshare,3364,4380,16706
- -,PEK,CGQ,China Eastern Airlines (MU),China Eastern Airlines,499,01:29,,,,,320,,,Direct,3364,4380,1758
- -,PEK,CGQ,Hong Kong Express Airways (UO),Hong Kong Express Airways,499,01:29,,,,,738,,,Codeshare,3364,4380,2774
- -,PEK,CGQ,Shenzhen Airlines (ZH),Shenzhen Airlines,499,01:29,,,,,737 320,,,Codeshare,3364,4380,4611
- -,PEK,CIF,Air China (CA),Air China,191,00:52,,,,,733 738,,,Direct,3364,6342,751
- -,PEK,CIH,China Southern Airlines (CZ),China Southern Airlines,324,01:08,,,,,320,,,Direct,3364,6343,1767
- -,PEK,CIH,Hainan Airlines (HU),Hainan Airlines,324,01:08,,,,,738,,,Direct,3364,6343,2660
- -,PEK,CJU,Korean Air (KE),Korean Air,710,01:55,,,,,739,,,Direct,3364,2370,3163
- -,PEK,CJU,China Eastern Airlines (MU),China Eastern Airlines,710,01:55,,,,,739,,,Codeshare,3364,2370,1758
- -,PEK,CKG,Sichuan Airlines (3U),Sichuan Airlines,909,02:19,,,,,320 319,,,Direct,3364,3393,4608
- -,PEK,CKG,Air China (CA),Air China,909,02:19,,,,,738 737 321,,,Direct,3364,3393,751
- -,PEK,CKG,China Southern Airlines (CZ),China Southern Airlines,909,02:19,,,,,319,,,Direct,3364,3393,1767
- -,PEK,CKG,Hainan Airlines (HU),Hainan Airlines,909,02:19,,,,,738,,,Direct,3364,3393,2660
- -,PEK,CKG,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,909,02:19,,,,,32S,,,Codeshare,3364,3393,3090
- -,PEK,CKG,Shenzhen Airlines (ZH),Shenzhen Airlines,909,02:19,,,,,737 320,,,Codeshare,3364,3393,4611
- -,PEK,CPH,Air China (CA),Air China,4467,09:26,,,,,343,,,Codeshare,3364,609,751
- -,PEK,CPH,Scandinavian Airlines System (SK),Scandinavian Airlines System,4467,09:26,,,,,343,,,Direct,3364,609,4319
- -,PEK,CSX,Air China (CA),Air China,843,02:11,,,,,738 321 772 757,,,Direct,3364,3371,751
- -,PEK,CSX,China Southern Airlines (CZ),China Southern Airlines,843,02:11,,,,,320 321,,,Direct,3364,3371,1767
- -,PEK,CSX,Hainan Airlines (HU),Hainan Airlines,843,02:11,,,,,738,,,Direct,3364,3371,2660
- -,PEK,CSX,Xiamen Airlines (MF),Xiamen Airlines,843,02:11,,,,,737,,,Direct,3364,3371,5484
- -,PEK,CSX,China Eastern Airlines (MU),China Eastern Airlines,843,02:11,,,,,320 321,,,Codeshare,3364,3371,1758
- -,PEK,CSX,Shenzhen Airlines (ZH),Shenzhen Airlines,843,02:11,,,,,737 320 777,,,Codeshare,3364,3371,4611
- -,PEK,CTS,Air China (CA),Air China,1308,03:06,,,,,738,,,Direct,3364,2287,751
- -,PEK,CTS,All Nippon Airways (NH),All Nippon Airways,1308,03:06,,,,,738,,,Codeshare,3364,2287,324
- -,PEK,CTU,Sichuan Airlines (3U),Sichuan Airlines,966,02:25,,,,,321 320 330,,,Direct,3364,3395,4608
- -,PEK,CTU,Air China (CA),Air China,966,02:25,,,,,321 319 738 757 330 767 763 333,,,Direct,3364,3395,751
- -,PEK,CTU,China Southern Airlines (CZ),China Southern Airlines,966,02:25,,,,,738 321,,,Direct,3364,3395,1767
- -,PEK,CTU,Hainan Airlines (HU),Hainan Airlines,966,02:25,,,,,738 340,,,Direct,3364,3395,2660
- -,PEK,CTU,All Nippon Airways (NH),All Nippon Airways,966,02:25,,,,,319,,,Codeshare,3364,3395,324
- -,PEK,CTU,Scandinavian Airlines System (SK),Scandinavian Airlines System,966,02:25,,,,,321 333,,,Codeshare,3364,3395,4319
- -,PEK,CTU,Shenzhen Airlines (ZH),Shenzhen Airlines,966,02:25,,,,,320 319 737 757 330 767,,,Codeshare,3364,3395,4611
- -,PEK,CZX,Air China (CA),Air China,588,01:40,,,,,738,,,Direct,3364,4109,751
- -,PEK,CZX,Shenzhen Airlines (ZH),Shenzhen Airlines,588,01:40,,,,,737,,,Codeshare,3364,4109,4611
- -,PEK,DAT,Air China (CA),Air China,163,00:49,,,,,733,,,Direct,3364,6344,751
- -,PEK,DAX,Air China (CA),Air China,791,02:04,,,,,737,,,Direct,3364,6397,751
- -,PEK,DDG,Air China (CA),Air China,407,01:18,,,,,738 733,,,Direct,3364,6433,751
- -,PEK,DEL,Air China (CA),Air China,2365,05:13,,,,,333,,,Direct,3364,3093,751
- -,PEK,DLC,Air China (CA),Air China,274,01:02,,,,,737 738,,,Direct,3364,3404,751
- -,PEK,DLC,Canadian National Airways (CN),Canadian National Airways,274,01:02,,,,,738,,,Direct,3364,3404,9829
- -,PEK,DLC,China Southern Airlines (CZ),China Southern Airlines,274,01:02,,,,,321 319,,,Direct,3364,3404,1767
- -,PEK,DLC,China Eastern Airlines (MU),China Eastern Airlines,274,01:02,,,,,321 320,,,Direct,3364,3404,1758
- -,PEK,DLC,All Nippon Airways (NH),All Nippon Airways,274,01:02,,,,,738 737,,,Codeshare,3364,3404,324
- -,PEK,DLC,Air New Zealand (NZ),Air New Zealand,274,01:02,,,,,738,,,Codeshare,3364,3404,345
- -,PEK,DLC,Shenzhen Airlines (ZH),Shenzhen Airlines,274,01:02,,,,,737,,,Codeshare,3364,3404,4611
- -,PEK,DME,Transaero Airlines (UN),Transaero Airlines,3592,07:41,,,,,772,,,Direct,3364,4029,5067
- -,PEK,DOH,Qatar Airways (QR),Qatar Airways,3829,08:09,,,,,77W 77L,,,Direct,3364,2241,4091
- -,PEK,DOY,Hainan Airlines (HU),Hainan Airlines,214,00:55,,,,,738,,,Direct,3364,4145,2660
- -,PEK,DSN,Air China (CA),Air China,347,01:11,,,,,738,,,Direct,3364,6434,751
- -,PEK,DTW,Delta Air Lines (DL),Delta Air Lines,6611,13:43,,,,,77L,,,Direct,3364,3645,2009
- -,PEK,DUS,Air China (CA),Air China,4841,10:10,,,,,330,,,Direct,3364,345,751
- -,PEK,DUS,Lufthansa (LH),Lufthansa,4841,10:10,,,,,330,,,Codeshare,3364,345,3320
- -,PEK,DXB,Air China (CA),Air China,3629,07:45,,,,,330,,,Direct,3364,2188,751
- -,PEK,DXB,China Southern Airlines (CZ),China Southern Airlines,3629,07:45,,,,,330,,,Direct,3364,2188,1767
- -,PEK,DXB,Emirates (EK),Emirates,3629,07:45,,,,,345 388,,,Direct,3364,2188,2183
- -,PEK,DXB,Hainan Airlines (HU),Hainan Airlines,3629,07:45,,,,,767,,,Direct,3364,2188,2660
- -,PEK,DXB,Kenya Airways (KQ),Kenya Airways,3629,07:45,,,,,330,,,Codeshare,3364,2188,3126
- -,PEK,DYG,Air China (CA),Air China,833,02:09,,,,,738,,,Direct,3364,6353,751
- -,PEK,DYG,China Southern Airlines (CZ),China Southern Airlines,833,02:09,,,,,321,,,Direct,3364,6353,1767
- -,PEK,ENY,Air Foyle (GS),Air Foyle,448,01:23,,,,,E90,,,Direct,3364,6367,690
- -,PEK,EWR,Continental Airlines (CO),Continental Airlines,6811,14:07,,,,,777,,,Direct,3364,3494,1881
- -,PEK,EWR,United Airlines (UA),United Airlines,6811,14:07,,,,,777,,,Codeshare,3364,3494,5209
- -,PEK,FCO,Alitalia (AZ),Alitalia,5059,10:37,,,,,330,,,Direct,3364,1555,596
- -,PEK,FCO,Air China (CA),Air China,5059,10:37,,,,,330,,,Direct,3364,1555,751
- -,PEK,FCO,China Eastern Airlines (MU),China Eastern Airlines,5059,10:37,,,,,330,,,Codeshare,3364,1555,1758
- -,PEK,FNJ,Air China (CA),Air China,486,01:28,,,,,733,,,Direct,3364,3377,751
- -,PEK,FNJ,Air Koryo (JS),Air Koryo,486,01:28,,,,,T20,,,Direct,3364,3377,998
- -,PEK,FOC,Air China (CA),Air China,992,02:29,,,,,738,,,Direct,3364,3385,751
- -,PEK,FOC,China Southern Airlines (CZ),China Southern Airlines,992,02:29,,,,,737,,,Codeshare,3364,3385,1767
- -,PEK,FOC,Hainan Airlines (HU),Hainan Airlines,992,02:29,,,,,738,,,Direct,3364,3385,2660
- -,PEK,FOC,Xiamen Airlines (MF),Xiamen Airlines,992,02:29,,,,,737,,,Direct,3364,3385,5484
- -,PEK,FOC,Shenzhen Airlines (ZH),Shenzhen Airlines,992,02:29,,,,,737,,,Codeshare,3364,3385,4611
- -,PEK,FRA,Air China (CA),Air China,4837,10:10,,,,,773,,,Direct,3364,340,751
- -,PEK,FRA,Lufthansa (LH),Lufthansa,4837,10:10,,,,,388,,,Direct,3364,340,3320
- -,PEK,FUG,Air China (CA),Air China,497,01:29,,,,,733,,,Direct,3364,7503,751
- -,PEK,GMP,Air China (CA),Air China,575,01:39,,,,,738,,,Direct,3364,2378,751
- -,PEK,GMP,China Southern Airlines (CZ),China Southern Airlines,575,01:39,,,,,321,,,Direct,3364,2378,1767
- -,PEK,GMP,Korean Air (KE),Korean Air,575,01:39,,,,,333,,,Direct,3364,2378,3163
- -,PEK,GMP,Asiana Airlines (OZ),Asiana Airlines,575,01:39,,,,,333,,,Direct,3364,2378,28
- -,PEK,GYS,Air China (CA),Air China,804,02:06,,,,,737,,,Direct,3364,6398,751
- -,PEK,HAK,Air China (CA),Air China,1437,03:22,,,,,321,,,Direct,3364,4120,751
- -,PEK,HAK,China Southern Airlines (CZ),China Southern Airlines,1437,03:22,,,,,320,,,Direct,3364,4120,1767
- -,PEK,HAK,Hainan Airlines (HU),Hainan Airlines,1437,03:22,,,,,738,,,Direct,3364,4120,2660
- -,PEK,HAK,Shenzhen Airlines (ZH),Shenzhen Airlines,1437,03:22,,,,,320,,,Codeshare,3364,4120,4611
- -,PEK,HAN,China Southern Airlines (CZ),China Southern Airlines,1448,03:23,,,,,321,,,Codeshare,3364,3199,1767
- -,PEK,HAN,Vietnam Airlines (VN),Vietnam Airlines,1448,03:23,,,,,321,,,Direct,3364,3199,5309
- -,PEK,HEL,Finnair (AY),Finnair,3917,08:20,,,,,340 333,,,Direct,3364,421,2350
- -,PEK,HEL,Air China (CA),Air China,3917,08:20,,,,,340 333,,,Codeshare,3364,421,751
- -,PEK,HET,Air China (CA),Air China,255,01:00,,,,,733 738 321 737,,,Direct,3364,6345,751
- -,PEK,HET,Hainan Airlines (HU),Hainan Airlines,255,01:00,,,,,738,,,Direct,3364,6345,2660
- -,PEK,HET,Japan Air System (JD),Japan Air System,255,01:00,,,,,320 319,,,Direct,3364,6345,6557
- -,PEK,HET,Shenzhen Airlines (ZH),Shenzhen Airlines,255,01:00,,,,,737 320,,,Codeshare,3364,6345,4611
- -,PEK,HFE,Air China (CA),Air China,574,01:38,,,,,738 733,,,Direct,3364,3389,751
- -,PEK,HFE,Hainan Airlines (HU),Hainan Airlines,574,01:38,,,,,738,,,Direct,3364,3389,2660
- -,PEK,HFE,China Eastern Airlines (MU),China Eastern Airlines,574,01:38,,,,,320,,,Direct,3364,3389,1758
- -,PEK,HGH,Air China (CA),Air China,713,01:55,,,,,738 319 320 737 321 733,,,Direct,3364,3386,751
- -,PEK,HGH,China Southern Airlines (CZ),China Southern Airlines,713,01:55,,,,,321,,,Direct,3364,3386,1767
- -,PEK,HGH,Shanghai Airlines (FM),Shanghai Airlines,713,01:55,,,,,738 757,,,Direct,3364,3386,4609
- -,PEK,HGH,Hainan Airlines (HU),Hainan Airlines,713,01:55,,,,,738 330,,,Direct,3364,3386,2660
- -,PEK,HGH,China Eastern Airlines (MU),China Eastern Airlines,713,01:55,,,,,321 320,,,Direct,3364,3386,1758
- -,PEK,HGH,Shenzhen Airlines (ZH),Shenzhen Airlines,713,01:55,,,,,737 319 320,,,Codeshare,3364,3386,4611
- -,PEK,HIA,China Eastern Airlines (MU),China Eastern Airlines,457,01:24,,,,,737,,,Direct,3364,7898,1758
- -,PEK,HKG,Air China (CA),Air China,1237,02:58,,,,,321 330 772,,,Direct,3364,3077,751
- -,PEK,HKG,Cathay Pacific (CX),Cathay Pacific,1237,02:58,,,,,330 777 343,,,Direct,3364,3077,1680
- -,PEK,HKG,China Southern Airlines (CZ),China Southern Airlines,1237,02:58,,,,,321,,,Direct,3364,3077,1767
- -,PEK,HKG,Hankook Air (HX),Hankook Air,1237,02:58,,,,,332,,,Direct,3364,3077,16706
- -,PEK,HKG,Dragonair (KA),Dragonair,1237,02:58,,,,,330 320 321,,,Direct,3364,3077,2056
- -,PEK,HKG,Hong Kong Express Airways (UO),Hong Kong Express Airways,1237,02:58,,,,,332,,,Direct,3364,3077,2774
- -,PEK,HKT,Air China (CA),Air China,2478,05:27,,,,,757,,,Direct,3364,3179,751
- -,PEK,HKT,Hainan Airlines (HU),Hainan Airlines,2478,05:27,,,,,738,,,Direct,3364,3179,2660
- -,PEK,HLD,Air China (CA),Air China,649,01:47,,,,,738 733,,,Direct,3364,3366,751
